Código Produto,Nome Produto,Marca,Modelo,Tipo,Indice,Tratamento,Antireflexo,Variação Antireflexo
208323,LENTES SOL RAY BAN,RAY BAN,SOL,VISÃO SIMPLES,1.50,,AR,
461966,LENTES SOL EMPORIO ARMANI RAJ7427AA RC002,EMPORIO ARMANI,SOL,VISÃO SIMPLES,1.50,,AR,
510604,LENTES SOL RAY BAN RB3522AB RC002AB,RAY BAN,SOL,VISÃO SIMPLES,1.50,,AR,
641373,LENTES SOL OAKLEY OO9263AB 1892AA,OAKLEY,SOL,VISÃO SIMPLES,1.50,,ANTIRRISCO,
707766,LENTES SOL RAY BAN RAM5200AB RC004AA,RAY BAN,SOL,VISÃO SIMPLES,1.50,,AR,
960016,LENTES SOL RAY BAN ZRB3605N3590,RAY BAN,SOL,VISÃO SIMPLES,1.50,,ANTIRRISCO,
962041,LENTES RAY BAN ZRB21803061661349,RAY BAN,,PROGRESSIVA,1.59,,AR,
990397,LENTES RAY BAN ZRB353830186-7153,RAY BAN,,VISÃO SIMPLES,1.50,,AR,
990400,LENTES PAR RAY BAN ZRB4165L30852-8854,RAY BAN,,VISÃO SIMPLES,1.50,,AR,
991164,LENTES RAY BAN ZRB3025L30W323455,RAY BAN,,PROGRESSIVA,1.59,,AR,
BF0501,BIF. EXECUTIVE CR-39 INC,EXECUTIVE,,BIFOCAL,1.50,,ANTIRRISCO,
BF0502,BIF. EXECUTIVE CR-39 INC. AR,EXECUTIVE,,BIFOCAL,1.50,,AR,
BF0509,BIF. FLAT TOP CR-39 INC,FLAT TOP,,BIFOCAL,1.50,,ANTIRRISCO,
BF0510,BIF. FLAT TOP CR-39 INC. AR,FLAT TOP,,BIFOCAL,1.50,,AR,
BF0513,BIF. FLAT TOP CR-39 COLOR,FLAT TOP,,BIFOCAL,1.50,,ANTIRRISCO,
BF0517,BIF. FLAT TOP CR-39 TRANS CINZA,FLAT TOP,,BIFOCAL,1.50,TRANSITIONS,ANTIRRISCO,
