Código Produto,Nome Produto,Marca,Modelo,Esférico,Cilíndrico,Eixo
409066,LENTES CNT AIROPTIX COLORS 2P WB -00.00 HZ,AIROPTIX,COLORS 2P WB HZ,,,
426740,LENTES CNT ACUVUE OASYS AST -5.00 -1.75/150(8.6),ACUVUE,OASYS AST,-5.00,-1.75,150
217095,LENTES CNT ACUVUE OASYS AST -5.00 -1.75/10(8.6),ACUVUE,OASYS AST,-5.00,-1.75,10
89243,"LENTES CNT ACUVUE 2 -5,00 8.7",ACUVUE,2,-5.00,,
409064,LENTES CNT AIROPTIX COLORS 2P WB -00.00 GY,AIROPTIX,COLORS 2P WB GY,,,
89235,"LENTES CNT ACUVUE 2 -3,00 8.7",ACUVUE,2,-3.00,,
409067,LENTES CNT AIROPTIX COLORS 2P WB -00.00 ST,AIROPTIX,COLORS 2P WB ST,,,
409060,LENTES CNT AIROPTIX COLORS 2P WB -00.00 BL,AIROPTIX,COLORS 2P WB BL,,,
89236,"LENTES CNT ACUVUE 2 -3,25 8.7",ACUVUE,2,-3.25,,
89229,LENTES CNT ACUVUE 2 -1.50 8.7,ACUVUE,2,-1.50,,
166187,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/10(8.6),ACUVUE,OASYS AST,-4.00,-0.75,10
163803,LENTES CNT ACUVUE OASYS AST +0.00 -1.25/10(8.6),ACUVUE,OASYS AST,+0.00,-1.25,10
396103,LENTES CNT ACUVUE OASYS AST +0.00 -1.50/10 8.6,ACUVUE,OASYS AST,+0.00,-1.50,10
142829,LENTES CNT ACUVUE OASYS -4.50 8.4,ACUVUE,OASYS,-4.50,,
142819,LENTES CNT ACUVUE OASYS -2.00 8.4,ACUVUE,OASYS,-2.00,,
89238,"LENTES CNT ACUVUE 2 -3,75 8.7",ACUVUE,2,-3.75,,
142827,LENTES CNT ACUVUE OASYS -4.00,ACUVUE,OASYS,-4.00,,
142826,LENTES CNT ACUVUE OASYS -3.75 8.4,ACUVUE,OASYS,-3.75,,
409063,LENTES CNT AIROPTIX COLORS 2P WB -00.00 GR,AIROPTIX,COLORS 2P WB GR,,,
142790,LENTES CNT ACUVUE OASYS +1.50,ACUVUE,OASYS,+1.50,,
178253,LENTES CNT ACUVUE OASYS AST -5.00 -1.25/150(8.6),ACUVUE,OASYS AST,-5.00,-1.25,150
178251,LENTES CNT ACUVUE OASYS AST -5.00 -0.75/10(8.6),ACUVUE,OASYS AST,-5.00,-0.75,10
142830,LENTES CNT ACUVUE OASYS -4.75 8.4,ACUVUE,OASYS,-4.75,,
142831,LENTES CNT ACUVUE OASYS -5.00,ACUVUE,OASYS,-5.00,,
89201,"LENTES CNT ACUVUE 2 +1,75",ACUVUE,2,+1.75,,
142821,LENTES CNT ACUVUE OASYS -2.50 8.4,ACUVUE,OASYS,-2.50,,
142822,LENTES CNT ACUVUE OASYS -2.75 8.4,ACUVUE,OASYS,-2.75,,
410500,LENTES CNT ACUVUE 1 DAY DEFINE SHIMMER +1.00,ACUVUE,1 DAY DEFINE SHIMMER,+1.00,,
395104,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/10(8.6),ACUVUE,OASYS AST,-4.00,-0.75,10
318065,LENTES CNT 1 DAY MOIST AST 1DMA -1.25-1.25/20 (8.5,ACUVUE,OASYS 1 DAY MOIST AST,-1.25,-1.25,20
318210,LENTES CNT 1 DAY MOIST AST 1DMA -2.25-0.75/160 (8.,ACUVUE,OASYS 1 DAY MOIST AST,-2.25,-0.75,160
89227,"LENTES CNT ACUVUE 2 -1,00 8.7",ACUVUE,2,-1.00,,
177988,LENTES CNT ACUVUE OASYS AST -1.50 -0.75/10(8.6),ACUVUE,OASYS AST,-1.50,-0.75,10
178023,LENTES CNT ACUVUE OASYS AST -1.75 -1.25/10(8.6),ACUVUE,OASYS AST,-1.75,-1.25,10
142823,LENTES CNT ACUVUE OASYS -3.00 8.4,ACUVUE,OASYS,-3.00,,
89228,"LENTES CNT ACUVUE 2 -1,25 8.7",ACUVUE,2,-1.25,,
425914,LENTES CNT ACUVUE OASYS AST -0.75 -2.75/70(8.6),ACUVUE,OASYS AST,-0.75,-2.75,70
425870,LENTES CNT ACUVUE OASYS AST -0.50 -2.75/50(8.6),ACUVUE,OASYS AST,-0.50,-2.75,50
551944,LENTES CNT 1-D OASYS -4.50 8.5,ACUVUE,OASYS 1 DAY,-4.50,,
426231,LENTES CNT ACUVUE OASYS AST -3.00 -2.25/70(8.6),ACUVUE,OASYS AST,-3.00,-2.25,70
142847,LENTES CNT ACUVUE OASYS -12.00 8.4,ACUVUE,OASYS,-12.00,,
89245,"LENTES CNT ACUVUE 2 -5,50 8.7",ACUVUE,2,-5.50,,
142817,LENTES CNT ACUVUE OASYS -1.50 8.4,ACUVUE,OASYS,-1.50,,
557020,LENTES CNT ACUVUE OASYS AST -7.25 -4.00/165,ACUVUE,OASYS AST,-7.25,-4.00,165
142837,LENTES CNT ACUVUE OASYS -7.00 8.4,ACUVUE,OASYS,-7.00,,
142814,LENTES CNT ACUVUE OASYS -0.75 8.4,ACUVUE,OASYS,-0.75,,
89232,"LENTES CNT ACUVUE 2 -2,25 8.7",ACUVUE,2,-2.25,,
142816,LENTES CNT ACUVUE OASYS -1.25 (8.4),ACUVUE,OASYS,-1.25,,
89234,"LENTES CNT ACUVUE 2 -2,75 8.7",ACUVUE,2,-2.75,,
142825,LENTES CNT ACUVUE OASYS -3.50 8.4,ACUVUE,OASYS,-3.50,,
89233,LENTES CNT ACUVUE 2 -2.50 8.7,ACUVUE,2,-2.50,,
142833,LENTES CNT ACUVUE OASYS -5.50,ACUVUE,OASYS,-5.50,,
178261,LENTES CNT ACUVUE OASYS AST -5.25 -0.75/10(8.6),ACUVUE,OASYS AST,-5.25,-0.75,10
142828,LENTES CNT ACUVUE OASYS -4.25,ACUVUE,OASYS,-4.25,,
551934,LENTES CNT 1-D OASYS -2.00 8.5,ACUVUE,OASYS 1 DAY,-2.00,,
89239,"LENTES CNT ACUVUE 2 -4,00 8.7",ACUVUE,2,-4.00,,
395580,LENTES CNT ACUVUE OASYS AST -4.75 -2.25/150(8.6),ACUVUE,OASYS AST,-4.75,-2.25,150
426685,LENTES CNT ACUVUE OASYS AST -4.75 -1.75/20(8.6),ACUVUE,OASYS AST,-4.75,-1.75,20
375282,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/110(8.6),ACUVUE,OASYS AST,-4.00,-0.75,110
178224,LENTES CNT ACUVUE OASYS AST -4.50 -0.75/10(8.6),ACUVUE,OASYS AST,-4.50,-0.75,10
142840,LENTES CNT ACUVUE OASYS -8.50,ACUVUE,OASYS,-8.50,,
142836,LENTES CNT ACUVUE OASYS -6.50 8.4,ACUVUE,OASYS,-6.50,,
902005,LENTES CNT ACUVUE OASYS -1.25 -0.75/80 8.6,ACUVUE,OASYS AST,-1.25,-0.75,80
142824,LENTES CNT ACUVUE OASYS -3.25 8.4,ACUVUE,OASYS,-3.25,,
306866,LENTES CNT ACUVUE OASYS AST -1.50 -1.25/100(8.6),ACUVUE,OASYS AST,-1.50,-1.25,100
425882,LENTES CNT ACUVUE OASYS AST -0.75 -1.25/60(8.6),ACUVUE,OASYS AST,-0.75,-1.25,60
142815,LENTES CNT ACUVUE OASYS -1.00 (8.4),ACUVUE,OASYS,-1.00,,
424266,LENTES CNT ACUVUE OASYS AST +1.50 -2.25/30(8.6),ACUVUE,OASYS AST,+1.50,-2.25,30
424249,LENTES CNT ACUVUE OASYS AST +1.50 -1.75/160(8.6),ACUVUE,OASYS AST,+1.50,-1.75,160
426266,LENTES CNT ACUVUE OASYS AST -3.25 -2.25/150(8.6),ACUVUE,OASYS AST,-3.25,-2.25,150
231026,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/40(8.6),ACUVUE,OASYS AST,-2.25,-1.75,40
142820,LENTES CNT ACUVUE OASYS -2.25 8.4,ACUVUE,OASYS,-2.25,,
426998,LENTES CNT ACUVUE OASYS AST -5.75 -0.75/10(8.6),ACUVUE,OASYS AST,-5.75,-0.75,10
178235,LENTES CNT ACUVUE OASYS AST -4.75 -0.75/10(8.6),ACUVUE,OASYS AST,-4.75,-0.75,10
175796,LENTES CNT ACUVUE OASYS AST -4.50 -1.75/180(8.6),ACUVUE,OASYS AST,-4.50,-1.75,180
89231,"LENTES CNT ACUVUE 2 -2,00 8.7",ACUVUE,2,-2.00,,
177983,LENTES CNT ACUVUE OASYS AST -1.25 -1.75/180(8.6),ACUVUE,OASYS AST,-1.25,-1.75,180
178048,LENTES CNT ACUVUE OASYS AST -2.00 -1.25/180(8.6),ACUVUE,OASYS AST,-2.00,-1.25,180
178141,LENTES CNT ACUVUE OASYS AST -3.00 -2.25/10(8.6),ACUVUE,OASYS AST,-3.00,-2.25,10
395120,LENTES CNT ACUVUE OASYS AST -1.00 -2.75/180(8.6),ACUVUE,OASYS AST,-1.00,-2.75,180
425908,LENTES CNT ACUVUE OASYS AST -0.75 -2.75/180(8.6),ACUVUE,OASYS AST,-0.75,-2.75,180
395214,LENTES CNT ACUVUE OASYS AST -2.25 -1.00/155 8.6,ACUVUE,OASYS AST,-2.25,-1.00,155
178091,LENTES CNT ACUVUE OASYS AST -2.50 -0.75/180(8.6),ACUVUE,OASYS AST,-2.50,-0.75,180
423905,LENTES CNT ACUVUE OASYS AST +0.25 -2.75/180(8.6),ACUVUE,OASYS AST,+0.25,-2.75,180
426147,LENTES CNT ACUVUE OASYS AST -2.50 -2.75/10(8.6),ACUVUE,OASYS AST,-2.50,-2.75,10
426203,LENTES CNT ACUVUE OASYS AST -2.75 -2.75/170(8.6),ACUVUE,OASYS AST,-2.75,-2.75,170
426510,LENTES CNT ACUVUE OASYS AST -4.50 -1.75/100(8.6),ACUVUE,OASYS AST,-4.50,-1.75,100
395992,LENTES CNT ACUVUE OASYS AST -4.00 -2.75/80(8.6),ACUVUE,OASYS AST,-4.00,-2.75,80
142818,LENTES CNT ACUVUE OASYS -1.75 8.4,ACUVUE,OASYS,-1.75,,
89210,"LENTES CNT ACUVUE 2 +4,00",ACUVUE,2,+4.00,,
89198,"LENTES CNT ACUVUE 2 +1,00",ACUVUE,2,+1.00,,
142835,LENTES CNT ACUVUE OASYS -6.00 8.4,ACUVUE,OASYS,-6.00,,
395126,LENTES CNT ACUVUE OASYS AST +0.00 -2.75/180(8.6),ACUVUE,OASYS AST,+0.00,-2.75,180
370669,LENTES CNT ACUVUE OASYS AST -3.25 -0.75/10(8.6),ACUVUE,OASYS AST,-3.25,-0.75,10
426163,LENTES CNT ACUVUE OASYS AST -2.75 -0.75/110(8.6),ACUVUE,OASYS AST,-2.75,-0.75,110
551945,LENTES CNT 1-D OASYS -4.75 8.5,ACUVUE,OASYS 1 DAY,-4.75,,
551943,LENTES CNT 1-D OASYS -4.25,ACUVUE,OASYS 1 DAY,-4.25,,
518993,LENTES CNT ACUVUE 2 -7.25,ACUVUE,2,-7.25,,
89248,"LENTES CNT ACUVUE 2 -6,50",ACUVUE,2,-6.50,,
425796,LENTES CNT ACUVUE OASYS AST -0.25 -1.25/40(8.6),ACUVUE,OASYS AST,-0.25,-1.25,40
425784,LENTES CNT ACUVUE OASYS AST -0.25 -0.75/150(8.6),ACUVUE,OASYS AST,-0.25,-0.75,150
235463,LENTES CNT ACUVUE OASYS AST -2.75 -1.75/90(8.6),ACUVUE,OASYS AST,-2.75,-1.75,90
348088,LENTES CNT ACUVUE OASYS AST -3.25 -1.75/100(8.6),ACUVUE,OASYS AST,-3.25,-1.75,100
395380,LENTES CNT ACUVUE OASYS AST -1.50 -2.75/180(8.6),ACUVUE,OASYS AST,-1.50,-2.75,180
426119,LENTES CNT ACUVUE OASYS AST -2.25 -2.75/180(8.6),ACUVUE,OASYS AST,-2.25,-2.75,180
89247,"LENTES CNT ACUVUE 2 -6,00",ACUVUE,2,-6.00,,
500666,LENTES CNT ACUVUE OASYS AST -2.00 -1.00/180,ACUVUE,OASYS AST,-2.00,-1.00,180
360033,LENTES CNT ACUVUE OASYS AST -2.00 -1.00/145 8.6,ACUVUE,OASYS AST,-2.00,-1.00,145
355827,LENTES CNT ACUVUE OASYS AST -7.00 -2.25/160(8.6),ACUVUE,OASYS AST,-7.00,-2.25,160
427214,LENTES CNT ACUVUE OASYS AST -7.00 -1.75/10(8.6),ACUVUE,OASYS AST,-7.00,-1.75,10
173034,LENTES CNT ACUVUE OASYS AST -0.25 -0.75/10(8.6),ACUVUE,OASYS AST,-0.25,-0.75,10
426494,LENTES CNT ACUVUE OASYS AST -4.50 -0.75/170(8.6),ACUVUE,OASYS AST,-4.50,-0.75,170
313044,LENTES CNT ACUVUE OASYS AST -4.75 -2.25/20(8.6),ACUVUE,OASYS AST,-4.75,-2.25,20
917203,LENTES CNT ACUVUE OASYS AST +0.00 +0.75/180 8.6,ACUVUE,OASYS AST,+0.00,+0.75,180
178279,LENTES CNT ACUVUE OASYS AST -6.00 -0.75/180(8.6),ACUVUE,OASYS AST,-6.00,-0.75,180
308262,LENTES CNT ACUVUE OASYS AST -6.00 -1.25/10(8.6),ACUVUE,OASYS AST,-6.00,-1.25,10
89241,"LENTES CNT ACUVUE 2 -4,50 8.7",ACUVUE,2,-4.50,,
142845,LENTES CNT ACUVUE OASYS -11.00,ACUVUE,OASYS,-11.00,,
419160,LENTES CNT ACUVUE OASYS AST -0.25 -2.75/180(8.6),ACUVUE,OASYS AST,-0.25,-2.75,180
142844,LENTES CNT ACUVUE OASYS -10.50,ACUVUE,OASYS,-10.50,,
142788,LENTES CNT ACUVUE OASYS +1.00,ACUVUE,OASYS,+1.00,,
